featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
lbp.2D_firstorder_RobustMeanAbsoluteDeviation,13,11,13,11,32,29,32,29,39,36,37,34,43,39,38,35,31,25,26,21
log.sigma.5.mm.3D_glcm_MaximumProbability,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
wavelet.HHL_gldm_LowGrayLevelEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbp.3D.k_glcm_MaximumProbability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLL_glrlm_GrayLevelNonUniformity,1,1,1,1,1,1,0,0,3,3,3,3,0,0,0,0,0,0,0,0
wavelet.LLL_gldm_HighGrayLevelEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.5.mm.3D_glrlm_RunVariance,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2
lbp.3D.k_firstorder_Uniformity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exponential_glcm_MCC,7,7,6,6,6,5,6,5,3,2,3,2,1,1,1,1,0,0,0,0
original_firstorder_Median,11,10,9,8,14,11,13,11,8,8,7,7,6,5,3,3,6,4,3,2
wavelet.HLL_glrlm_RunLengthNonUniformity,8,7,8,7,5,5,4,4,2,1,1,0,2,1,1,0,1,0,1,0
wavelet.HHH_firstorder_RobustMeanAbsoluteDeviation,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHH_firstorder_Minimum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lbp.3D.m2_glrlm_GrayLevelNonUniformity,3,3,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
wavelet.LHL_firstorder_Uniformity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHH_glcm_Imc2,0,0,0,0,1,1,1,1,8,7,8,7,13,11,12,11,16,15,10,10
lbp.3D.k_firstorder_Median,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHH_glcm_Idn,5,5,5,5,10,10,9,9,9,9,8,8,5,5,4,4,5,2,4,1
wavelet.HLL_ngtdm_Contrast,5,3,5,3,3,2,2,1,0,0,0,0,1,1,1,1,2,1,1,1
wavelet.HLL_glcm_ClusterProminence,19,16,19,16,14,13,13,12,18,17,17,16,21,18,19,16,35,25,27,18
wavelet.HHH_glrlm_RunVariance,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,1,2,1
wavelet.HLH_gldm_LowGrayLevelEmphasis,7,6,6,5,20,20,20,20,20,16,18,14,15,14,14,13,12,11,8,7
wavelet.HLH_glrlm_RunPercentage,6,5,6,5,1,1,1,1,3,3,3,3,2,1,2,1,3,3,3,3
gradient_gldm_SmallDependenceHighGrayLevelEmphasis,7,6,6,5,6,6,6,6,7,7,6,6,1,1,1,1,1,1,1,1
lbp.3D.k_glszm_SizeZoneNonUniformity,2,2,2,2,19,18,19,18,29,26,28,25,67,64,57,54,114,93,91,73
wavelet.HHL_glcm_JointEnergy,4,4,4,4,3,2,3,2,1,1,1,1,8,7,7,6,3,3,2,2
log.sigma.5.mm.3D_gldm_GrayLevelNonUniformity,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
wavelet.HHL_firstorder_Median,21,18,20,18,20,20,20,20,9,7,8,6,10,7,10,7,4,3,4,3
logarithm_glrlm_RunLengthNonUniformityNormalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHH_gldm_LowGrayLevelEmphasis,2,2,2,2,5,5,5,5,6,5,6,5,2,2,1,1,1,0,1,0
log.sigma.5.mm.3D_firstorder_Skewness,61,48,55,46,54,50,50,47,43,40,39,36,30,25,26,23,22,20,15,14
square_glcm_SumEntropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHH_glcm_DifferenceVariance,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
logarithm_gldm_SmallDependenceEmphasis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLL_ngtdm_Coarseness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
square_ngtdm_Strength,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLL_firstorder_Entropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHH_gldm_SmallDependenceEmphasis,0,0,0,0,0,0,0,0,1,1,1,1,4,2,3,2,1,1,0,0
wavelet.LLH_gldm_LargeDependenceEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.5.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,24,20,20,17,34,31,32,29,47,44,46,43,37,34,33,30,40,31,33,25
wavelet.LLL_gldm_DependenceNonUniformity,2,2,2,2,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
squareroot_glszm_SizeZoneNonUniformity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squareroot_glcm_DifferenceAverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHH_glcm_Id,3,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLH_firstorder_TotalEnergy,3,3,2,2,4,4,4,4,0,0,0,0,2,0,2,0,1,1,1,1
wavelet.LHH_firstorder_Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
original_glrlm_GrayLevelNonUniformity,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
