featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
lbp.2D_firstorder_RobustMeanAbsoluteDeviation,124,93,103,80,224,184,202,170,302,243,242,198,366,276,266,199,477,308,278,180
log.sigma.5.mm.3D_glcm_MaximumProbability,11,10,11,10,14,11,12,9,15,12,11,8,14,11,11,8,19,11,11,7
wavelet.HHL_gldm_LowGrayLevelEmphasis,13,12,11,11,17,14,14,13,14,9,10,8,13,7,8,4,8,6,4,1
lbp.3D.k_glcm_MaximumProbability,10,9,9,8,3,2,3,2,7,4,3,2,13,10,11,8,15,8,5,1
wavelet.LLL_glrlm_GrayLevelNonUniformity,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0
wavelet.LLL_gldm_HighGrayLevelEmphasis,11,10,11,10,26,21,23,20,21,17,15,12,38,29,26,22,34,15,19,7
log.sigma.5.mm.3D_glrlm_RunVariance,2,2,2,2,2,1,2,1,1,1,0,0,1,1,1,1,0,0,0,0
lbp.3D.k_firstorder_Uniformity,4,4,4,4,7,4,5,3,16,12,8,7,21,15,17,12,31,18,19,13
wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
exponential_glcm_MCC,3,3,2,2,2,1,2,1,6,5,4,3,3,2,3,2,4,3,1,1
original_firstorder_Median,51,47,48,44,83,74,69,64,55,50,42,39,67,44,43,31,63,40,42,26
wavelet.HLL_glrlm_RunLengthNonUniformity,74,60,61,54,77,62,69,57,112,81,87,61,85,61,50,33,83,49,42,24
wavelet.HHH_firstorder_RobustMeanAbsoluteDeviation,8,8,7,7,4,3,3,3,3,1,2,0,2,0,0,0,0,0,0,0
wavelet.LHH_firstorder_Minimum,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
lbp.3D.m2_glrlm_GrayLevelNonUniformity,51,47,49,45,75,65,68,59,106,89,77,66,93,71,51,37,97,64,51,32
wavelet.LHL_firstorder_Uniformity,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
wavelet.LHH_glcm_Imc2,65,51,54,45,97,69,80,58,157,112,114,81,239,168,155,107,289,170,129,74
lbp.3D.k_firstorder_Median,17,9,16,9,9,7,8,7,8,7,8,7,5,2,4,2,2,0,1,0
wavelet.LHH_glcm_Idn,62,53,54,46,87,64,75,58,155,121,118,92,198,145,127,89,317,197,182,114
wavelet.HLL_ngtdm_Contrast,1,1,0,0,2,2,1,1,3,2,3,2,2,1,1,1,1,1,1,1
wavelet.HLL_glcm_ClusterProminence,5,2,4,1,16,14,14,13,24,20,19,16,24,18,14,8,51,35,25,17
wavelet.HHH_glrlm_RunVariance,41,31,30,26,54,45,39,34,68,49,49,35,75,46,46,28,62,35,28,17
