var_name,vif
log.sigma.5.mm.3D_glcm_Idn,6.176968906
squareroot_firstorder_Median,2.163299305
lbp.3D.k_glrlm_ShortRunEmphasis,2.61556559
wavelet.LLH_glszm_GrayLevelNonUniformity,1.940147415
log.sigma.5.mm.3D_firstorder_90Percentile,4.461191911
wavelet.LHH_ngtdm_Contrast,1.653134697
square_glrlm_RunEntropy,2.558615207
wavelet.HLL_firstorder_Kurtosis,1.584668046
wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,2.923781948
wavelet.LHL_glszm_ZoneEntropy,2.772425991
original_shape_MinorAxisLength,4.417297567
wavelet.LLH_firstorder_Mean,2.508494901
original_shape_Sphericity,2.188882804
wavelet.LLL_glcm_Idmn,2.896166853
wavelet.LHL_gldm_DependenceVariance,3.624067386
wavelet.HLL_gldm_DependenceVariance,3.207439187
log.sigma.3.mm.3D_glszm_ZoneEntropy,6.295807779
log.sigma.5.mm.3D_firstorder_Median,9.914788452
lbp.2D_firstorder_InterquartileRange,2.166703681
wavelet.LHH_gldm_DependenceNonUniformityNormalized,1.64792466
