,ImmuneCell,RFs,R,pvalue
0,Macrophages M0,log.sigma.5.mm.3D_glcm_Idn,0.042418225227476555,0.5017973402533952
1,Macrophages M0,squareroot_firstorder_Median,-0.08561332205358524,0.17461810462248803
2,Macrophages M0,lbp.3D.k_glrlm_ShortRunEmphasis,-0.062157443077196915,0.3247560824678911
3,Macrophages M0,wavelet.LLH_glszm_GrayLevelNonUniformity,-0.15903016774400394,0.011304424835789183
4,Macrophages M0,log.sigma.5.mm.3D_firstorder_90Percentile,0.027737475781586217,0.6605953907521985
5,Macrophages M0,wavelet.LHH_ngtdm_Contrast,0.032004075676048085,0.6123899137472921
6,Macrophages M0,square_glrlm_RunEntropy,-0.20706315192319336,0.0009223115924673567
7,Macrophages M0,wavelet.HLL_firstorder_Kurtosis,-0.07919558175770475,0.20932718355559268
8,Macrophages M0,wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,-0.13694651294055676,0.02942455787450127
9,Macrophages M0,wavelet.LHL_glszm_ZoneEntropy,0.0938648239181622,0.1365118192900722
10,Macrophages M0,original_shape_MinorAxisLength,-0.037674739260182395,0.5508427624480186
11,Macrophages M0,wavelet.LLH_firstorder_Mean,0.06723517773870269,0.2867170749101843
12,Macrophages M0,original_shape_Sphericity,-0.1399716518333185,0.02599197742016777
13,Macrophages M0,wavelet.LLL_glcm_Idmn,-0.024422638287227776,0.6990524743623594
14,Macrophages M0,wavelet.LHL_gldm_DependenceVariance,0.02910687507828062,0.6449577409866311
15,Macrophages M0,wavelet.HLL_gldm_DependenceVariance,-0.08169156375537195,0.19528055519264195
16,Macrophages M0,log.sigma.3.mm.3D_glszm_ZoneEntropy,0.0009444920950158019,0.9880731266129371
17,Macrophages M0,log.sigma.5.mm.3D_firstorder_Median,0.062275182463769556,0.323838672649706
18,Macrophages M0,lbp.2D_firstorder_InterquartileRange,0.07660392140052982,0.22466711833921388
19,Macrophages M0,wavelet.LHH_gldm_DependenceNonUniformityNormalized,-0.09434634092183362,0.13450276803664374
20,Macrophages M1,log.sigma.5.mm.3D_glcm_Idn,0.03816178805843411,0.5457009157032572
21,Macrophages M1,squareroot_firstorder_Median,-0.08346985662400737,0.1857006207785288
22,Macrophages M1,lbp.3D.k_glrlm_ShortRunEmphasis,-0.03408885064249235,0.5894120749543096
23,Macrophages M1,wavelet.LLH_glszm_GrayLevelNonUniformity,-0.043289725643815925,0.4930430316660884
24,Macrophages M1,log.sigma.5.mm.3D_firstorder_90Percentile,0.07529165581752685,0.23273183513502171
25,Macrophages M1,wavelet.LHH_ngtdm_Contrast,-0.0074652194806077805,0.9059446667010705
26,Macrophages M1,square_glrlm_RunEntropy,-0.15841487708199403,0.011628625277054798
27,Macrophages M1,wavelet.HLL_firstorder_Kurtosis,-0.046449820889252424,0.4619935813926082
28,Macrophages M1,wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,-0.07855450552935758,0.21304957652853662
29,Macrophages M1,wavelet.LHL_glszm_ZoneEntropy,0.050889825132218305,0.42026233212194886
30,Macrophages M1,original_shape_MinorAxisLength,-0.03428633487149661,0.5872561009002738
31,Macrophages M1,wavelet.LLH_firstorder_Mean,0.07180006885455859,0.2551773654939292
32,Macrophages M1,original_shape_Sphericity,-0.08620874460360026,0.17162846588257757
33,Macrophages M1,wavelet.LLL_glcm_Idmn,0.005206570193988723,0.9343238444742157
34,Macrophages M1,wavelet.LHL_gldm_DependenceVariance,-0.011198429804588628,0.8593156112054726
35,Macrophages M1,wavelet.HLL_gldm_DependenceVariance,-0.03357433422311997,0.5950461214126601
36,Macrophages M1,log.sigma.3.mm.3D_glszm_ZoneEntropy,0.009355786132649714,0.8822802561763574
37,Macrophages M1,log.sigma.5.mm.3D_firstorder_Median,0.1291764987079479,0.040061616420140445
38,Macrophages M1,lbp.2D_firstorder_InterquartileRange,-0.015644922256062652,0.8044202398704551
39,Macrophages M1,wavelet.LHH_gldm_DependenceNonUniformityNormalized,-0.019953785426383357,0.7521208005397623
40,Macrophages M2,log.sigma.5.mm.3D_glcm_Idn,0.16849092826674172,0.007231942869421273
41,Macrophages M2,squareroot_firstorder_Median,-0.09702431790872665,0.12374138238433363
42,Macrophages M2,lbp.3D.k_glrlm_ShortRunEmphasis,-0.025004919532454453,0.6922378550587004
43,Macrophages M2,wavelet.LLH_glszm_GrayLevelNonUniformity,-0.05167410621730702,0.41312668663156976
44,Macrophages M2,log.sigma.5.mm.3D_firstorder_90Percentile,0.122737061748094,0.051180447599286916
45,Macrophages M2,wavelet.LHH_ngtdm_Contrast,0.0945094206804374,0.13382751992876057
46,Macrophages M2,square_glrlm_RunEntropy,-0.027744993076941695,0.6605091367543168
47,Macrophages M2,wavelet.HLL_firstorder_Kurtosis,-0.02778354203454053,0.6600668936460028
48,Macrophages M2,wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,-0.10152072293913998,0.10718968518679652
49,Macrophages M2,wavelet.LHL_glszm_ZoneEntropy,0.17761962928971123,0.004599953964350639
50,Macrophages M2,original_shape_MinorAxisLength,0.13954095862281052,0.02645862247583242
51,Macrophages M2,wavelet.LLH_firstorder_Mean,0.14227847256546533,0.023611184250066027
52,Macrophages M2,original_shape_Sphericity,-0.08837633965166998,0.1610662830863113
53,Macrophages M2,wavelet.LLL_glcm_Idmn,0.055473234940792794,0.37958391246068657
54,Macrophages M2,wavelet.LHL_gldm_DependenceVariance,0.005837138639278122,0.926391050803249
55,Macrophages M2,wavelet.HLL_gldm_DependenceVariance,-0.04277902964345672,0.4981631336814495
56,Macrophages M2,log.sigma.3.mm.3D_glszm_ZoneEntropy,0.154836803458675,0.013681407073242051
57,Macrophages M2,log.sigma.5.mm.3D_firstorder_Median,0.15415654302900414,0.014105808805388557
58,Macrophages M2,lbp.2D_firstorder_InterquartileRange,0.046090409492371,0.46546936572499004
59,Macrophages M2,wavelet.LHH_gldm_DependenceNonUniformityNormalized,0.052144022500663426,0.4088856266326564
